Age,Attendance_Percentage,Sleep_Hours,Stress_Level,Academic_Score,Family_Support_Score,Monthly_Expense,Screen_Time_Hours,Experimentation,Academic_Performance_Decline,Social_Isolation,Financial_Issues,Physical_Mental_Health_Problems,Legal_Consequences,Relationship_Strain,Risk_Taking_Behavior,Withdrawal_Symptoms,Denial_and_Resistance_to_Treatment,Addiction_Class
19,64.3,7.2,4,85.0,4.0,6448,7.3,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
24,76.8,5.4,2,49.2,1.0,4033,5.8,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
25,72.4,7.2,8,80.7,1.0,13384,6.8,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
28,77.2,6.5,3,55.0,1.0,10383,4.9,Yes,No,No,No,No,Yes,No,No,Yes,No,No
19,87.3,5.6,9,64.2,7.0,15464,8.4,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
18,72.6,,5,50.5,6.0,12038,5.2,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
20,83.0,5.6,6,87.1,2.0,19629,5.2,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
24,71.2,4.9,2,71.2,9.0,4787,4.7,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
23,66.5,6.4,10,63.1,1.0,7830,6.8,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
24,54.5,5.5,3,52.3,2.0,21860,3.9,No,Yes,,No,Yes,No,No,Yes,No,No,No
20,76.8,8.8,6,71.9,10.0,8974,4.0,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
26,66.4,9.2,10,52.0,10.0,4302,8.0,Yes,No,No,No,Yes,No,No,No,No,Yes,No
25,48.7,7.2,6,63.3,4.0,16638,7.5,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
24,79.7,3.8,2,72.9,7.0,17098,7.2,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
22,60.2,5.3,1,61.7,7.0,7156,7.2,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
20,65.7,7.3,3,69.7,10.0,20889,6.7,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
22,67.6,6.7,1,60.4,10.0,13525,5.5,Yes,Yes,No,No,No,No,No,No,No,No,No
24,88.4,3.9,5,99.8,2.0,2800,5.9,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
26,87.6,,6,97.8,10.0,9406,5.7,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
26,65.7,6.8,2,63.7,10.0,9765,8.9,No,No,No,No,No,No,No,Yes,No,Yes,No
21,74.5,8.8,4,70.7,1.0,7239,6.9,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
25,100.0,6.7,5,69.1,6.0,8626,8.5,No,Yes,No,No,Yes,No,No,No,No,No,No
26,78.6,8.0,2,71.0,8.0,14550,5.1,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No
19,90.4,7.3,1,72.5,9.0,18747,3.2,Yes,No,No,,Yes,Yes,Yes,No,No,Yes,No
25,78.6,6.5,9,67.7,4.0,2804,6.5,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes
27,63.6,5.6,9,86.6,8.0,7000,9.4,No,No,No,Yes,No,No,No,Yes,No,No,No
25,83.9,6.7,7,65.2,3.0,21512,5.8,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes
25,,4.8,4,78.5,4.0,10539,4.0,No,No,Yes,No,No,No,No,No,Yes,No,No
26,57.2,7.7,5,48.9,1.0,15526,7.8,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No
22,73.5,6.0,1,62.7,2.0,21149,2.2,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
26,79.1,6.8,2,65.9,8.0,13911,5.7,Yes,No,No,,No,No,No,Yes,No,No,No
18,79.6,5.9,3,52.2,2.0,7308,5.2,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
19,54.9,6.9,4,66.3,3.0,14283,5.8,Yes,Yes,,No,Yes,Yes,No,No,No,Yes,No
17,63.7,5.8,7,65.9,8.0,2051,4.8,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
26,82.3,7.2,2,56.8,4.0,16315,6.1,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
26,81.6,6.3,1,88.3,5.0,17760,2.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
24,84.4,5.6,3,99.8,3.0,21004,2.5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
23,100.0,7.9,2,67.4,2.0,19235,7.8,No,No,Yes,No,No,No,Yes,No,No,No,No
25,86.7,8.1,9,55.4,2.0,17368,4.8,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
25,79.9,9.8,8,61.8,10.0,14907,10.6,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
22,57.2,4.8,1,53.9,9.0,9017,8.6,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
21,78.9,8.6,2,74.1,2.0,14474,6.7,No,No,No,No,No,No,Yes,No,No,Yes,No
26,78.1,6.9,8,51.1,7.0,11171,6.7,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
21,70.9,9.1,5,70.5,10.0,8241,9.3,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
20,78.2,6.5,10,75.2,6.0,15407,5.0,No,No,Yes,Yes,No,No,No,No,Yes,No,No
25,73.0,6.3,2,65.5,4.0,5614,5.5,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes
22,66.1,6.4,2,75.0,9.0,7118,4.1,Yes,No,No,No,No,No,Yes,No,No,Yes,No
28,60.2,8.8,10,60.6,10.0,15976,3.7,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
17,61.7,8.0,5,58.4,3.0,16337,6.5,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
19,66.1,6.1,4,45.5,7.0,14137,6.8,No,No,No,Yes,No,No,No,Yes,No,Yes,No
24,50.5,7.0,1,59.3,8.0,4508,6.5,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes
28,73.4,6.7,7,47.0,5.0,7440,7.6,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
20,52.0,6.4,4,54.9,4.0,16758,3.6,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
21,,4.0,9,64.2,6.0,9109,5.4,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes
17,77.9,6.7,7,43.5,4.0,9227,8.0,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
24,76.9,6.1,1,65.6,5.0,10772,4.3,No,No,No,No,No,No,No,Yes,Yes,Yes,No
19,68.1,6.7,3,81.0,,4714,5.4,Yes,No,No,No,No,Yes,No,Yes,No,No,No
22,65.2,8.0,1,42.6,4.0,11218,6.5,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
25,76.5,8.8,3,59.1,1.0,6679,7.9,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No
28,78.4,6.7,4,53.4,4.0,20498,5.6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
19,76.0,8.4,5,83.7,1.0,17076,3.9,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
19,74.9,7.4,3,61.6,5.0,3339,4.3,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
28,47.7,7.3,2,62.5,6.0,11722,5.7,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
27,61.5,5.7,5,80.0,,13047,9.1,Yes,No,No,No,No,Yes,No,No,No,No,No
21,93.2,5.8,2,61.4,4.0,7226,5.8,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No
21,70.3,7.9,4,34.3,5.0,4286,2.2,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
27,78.8,7.4,4,51.9,8.0,14131,6.7,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
20,68.3,6.8,2,61.1,7.0,19939,6.8,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
19,93.8,5.9,5,64.5,1.0,8183,4.5,No,No,Yes,No,No,No,No,Yes,No,Yes,No
28,80.2,6.0,4,63.1,1.0,10667,6.4,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
27,72.7,5.3,10,71.6,4.0,18365,3.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
24,57.2,7.4,1,,4.0,11041,6.9,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
24,55.5,7.6,9,71.3,4.0,6436,7.0,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
19,,6.9,10,70.2,9.0,11180,7.6,No,No,Yes,Yes,No,No,No,No,No,No,No
23,88.7,5.3,3,58.2,5.0,2075,8.3,No,No,Yes,Yes,No,No,No,Yes,No,No,No
25,71.5,7.6,3,50.3,9.0,8163,9.8,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
25,,5.8,1,,6.0,13823,5.8,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
22,81.7,4.9,8,74.5,4.0,3597,4.4,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
24,80.6,4.1,4,76.1,10.0,17333,2.0,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
24,59.7,7.2,6,74.3,2.0,12959,6.1,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
22,78.1,6.3,9,63.5,6.0,4540,3.3,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
27,76.6,7.0,7,70.6,7.0,14332,3.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
25,69.7,8.6,10,41.1,10.0,3342,8.7,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
24,61.8,6.0,8,,6.0,15065,4.4,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No
19,82.1,6.7,6,57.9,4.0,3797,5.5,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
18,82.6,8.5,4,43.6,7.0,11667,4.8,Yes,No,No,No,No,Yes,No,No,No,Yes,No
26,66.2,6.5,9,56.7,6.0,20605,3.3,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No
28,68.7,5.5,1,82.0,,20446,5.5,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
19,89.2,6.9,7,72.9,1.0,20766,7.4,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
27,70.1,7.3,8,54.1,4.0,15688,9.0,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
27,82.4,4.9,5,76.3,2.0,11816,4.7,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
21,79.3,5.8,9,77.5,6.0,6493,6.8,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes
18,72.7,4.7,4,69.3,3.0,13762,3.6,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No
27,81.7,,3,72.2,1.0,10974,1.0,No,No,Yes,No,No,No,No,No,No,No,No
24,,6.2,4,59.9,5.0,21499,3.8,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
26,67.1,7.8,2,75.5,5.0,4203,6.5,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No
22,86.9,6.4,3,60.4,10.0,4728,7.4,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
28,80.1,6.6,2,63.1,7.0,16342,5.4,No,No,Yes,Yes,No,No,No,Yes,No,No,No
22,80.3,7.1,5,65.9,5.0,8288,4.1,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
26,52.8,,7,77.6,5.0,21255,5.6,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes
21,77.2,8.8,8,55.6,8.0,14076,10.6,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
23,47.8,6.4,2,75.9,3.0,17294,5.6,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
17,75.0,4.9,5,76.1,4.0,17291,7.5,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
24,54.5,8.6,10,63.5,7.0,20233,1.9,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
26,91.0,6.4,7,43.6,8.0,5046,6.5,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
20,58.4,6.5,9,93.2,1.0,17615,8.1,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
23,89.5,5.4,8,53.2,9.0,4751,4.2,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
18,89.7,7.3,9,44.1,2.0,12575,7.0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
23,95.9,4.7,6,56.9,2.0,18357,6.7,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No
21,73.5,5.5,9,37.8,3.0,8249,3.5,No,No,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes
24,68.6,7.0,4,44.8,2.0,15593,3.9,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
28,86.3,6.0,10,61.7,8.0,13471,8.2,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No
25,82.4,7.6,9,89.8,9.0,7075,5.9,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No
20,66.3,5.5,1,69.8,1.0,18766,3.4,Yes,Yes,No,No,No,No,No,No,No,No,Yes
26,81.8,5.5,10,87.6,4.0,3394,2.5,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No
24,82.9,6.4,5,57.6,8.0,18096,5.7,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No
22,60.4,7.5,1,69.0,5.0,3608,3.0,No,No,No,No,Yes,No,No,Yes,Yes,No,No
19,62.0,8.1,10,64.7,8.0,5288,4.2,No,No,No,No,No,Yes,No,No,No,Yes,No
22,63.0,10.0,1,61.6,9.0,15941,9.2,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
25,58.6,9.1,4,54.5,10.0,8043,7.6,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
22,49.3,7.5,1,75.5,1.0,2574,7.1,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
26,89.3,7.6,2,50.3,2.0,11747,3.3,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
25,82.2,4.0,7,52.2,8.0,14585,6.5,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
27,71.2,7.0,1,52.6,9.0,18074,6.1,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
27,89.6,3.3,6,63.4,8.0,3931,6.5,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
19,92.7,6.9,3,71.7,2.0,11643,7.6,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
20,74.8,7.3,10,88.4,5.0,21927,4.0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
22,93.6,6.8,2,63.6,7.0,9062,2.4,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No
18,65.4,,1,57.1,8.0,3995,1.7,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
25,88.9,6.7,10,73.0,4.0,20869,5.7,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
18,83.0,7.6,3,64.2,5.0,9180,4.1,Yes,No,No,,No,No,No,No,No,No,No
22,79.0,5.7,10,67.6,9.0,20181,5.1,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
18,81.4,6.0,10,80.9,2.0,4766,2.2,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
22,64.1,7.7,9,56.7,10.0,10002,6.7,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
17,53.4,7.2,5,63.6,10.0,5811,5.6,No,No,No,No,Yes,No,No,No,Yes,No,No
17,62.0,6.0,3,59.2,2.0,20900,6.6,No,No,Yes,No,No,No,No,No,No,Yes,No
26,66.5,6.7,9,72.9,10.0,13174,3.0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
18,81.4,3.7,1,60.7,8.0,11871,1.8,No,No,,Yes,Yes,No,No,No,No,Yes,No
21,75.1,6.4,9,73.6,6.0,17299,6.5,Yes,Yes,No,No,No,No,No,No,Yes,No,No
21,76.0,6.9,9,51.9,6.0,7224,3.9,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
27,58.8,7.0,3,44.5,10.0,8817,1.6,No,Yes,No,Yes,No,No,No,Yes,No,No,No
17,58.3,4.2,7,74.3,6.0,5683,4.2,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes
27,85.5,6.0,4,62.7,6.0,10735,3.0,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
18,68.5,7.2,5,68.5,9.0,18048,8.1,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
26,79.1,6.6,1,66.3,5.0,2941,7.9,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No
22,,6.8,3,78.1,1.0,2438,5.6,No,No,No,Yes,Yes,Yes,No,No,No,No,No
17,68.9,7.6,9,37.7,1.0,19331,3.2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
20,88.7,6.1,7,61.0,,9482,6.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
22,82.8,6.8,10,46.6,,2352,3.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
17,93.3,9.2,2,,8.0,7686,3.0,Yes,No,,No,Yes,No,No,No,No,No,No
26,79.8,4.6,6,75.2,4.0,19126,7.3,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
17,81.6,6.4,10,97.1,2.0,7651,1.5,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes
18,56.9,7.8,9,50.2,1.0,18035,2.1,Yes,No,Yes,No,No,Yes,No,No,No,No,No
23,63.6,6.0,4,71.1,5.0,13569,6.5,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
28,78.3,5.8,9,66.9,7.0,3401,6.9,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes
17,63.3,6.3,9,60.5,7.0,21908,4.6,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
25,56.0,6.9,8,69.4,9.0,3625,5.5,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
22,88.8,6.4,7,89.2,7.0,12786,9.8,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
22,72.1,8.1,4,55.3,,21182,5.8,No,No,No,,Yes,No,Yes,Yes,Yes,No,No
17,69.4,5.8,8,71.4,1.0,11872,5.1,No,No,No,No,No,No,Yes,Yes,No,No,Yes
25,60.9,6.0,5,50.9,8.0,19549,8.2,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
23,70.1,6.6,2,57.6,7.0,10862,3.9,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
24,84.3,5.2,4,69.0,1.0,3489,5.5,Yes,Yes,No,No,No,Yes,No,No,No,No,No
28,91.7,5.8,9,100.0,8.0,21163,5.6,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
20,89.9,8.3,6,68.0,5.0,8484,7.0,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
21,97.7,9.5,7,83.4,10.0,12492,4.6,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No
17,64.9,6.1,2,36.2,3.0,19250,4.4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
19,56.2,7.3,6,65.7,7.0,10724,6.5,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
22,64.6,7.1,8,64.2,10.0,16233,5.8,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
21,66.4,8.1,5,70.3,6.0,7485,5.5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
21,45.0,7.0,2,61.2,8.0,4123,4.8,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
20,,6.8,10,49.4,7.0,2201,7.9,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes
21,54.9,6.4,7,50.4,3.0,8351,3.8,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
22,88.5,7.0,4,57.7,4.0,21644,6.0,No,No,No,Yes,No,No,No,No,No,Yes,No
25,65.4,5.1,9,75.2,9.0,19170,3.2,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
21,85.9,3.1,1,81.6,3.0,17896,8.4,No,No,No,No,No,Yes,Yes,No,No,No,No
23,100.0,7.4,8,57.5,5.0,15138,5.1,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
25,57.0,7.4,10,78.5,6.0,3577,6.4,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes
27,70.1,,10,38.6,5.0,18482,6.7,No,No,No,No,No,Yes,Yes,No,No,No,No
18,71.2,4.9,1,85.9,4.0,18660,4.7,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
25,68.7,5.5,7,57.4,7.0,19678,5.3,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
23,65.1,8.3,2,96.9,10.0,15359,4.5,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
21,69.5,5.7,9,54.4,9.0,21439,4.2,No,Yes,No,Yes,No,No,No,Yes,No,No,No
22,60.4,6.2,5,85.6,2.0,12544,7.1,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes
28,68.3,6.2,7,71.3,,10705,7.8,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No
18,73.0,4.1,9,69.8,6.0,20279,8.0,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
26,67.7,6.6,3,61.7,1.0,17025,4.2,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
19,53.5,6.3,2,54.2,1.0,17440,8.5,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
26,86.5,5.7,9,79.0,2.0,14416,8.2,No,Yes,No,No,No,No,Yes,No,No,Yes,No
21,58.9,6.6,9,46.4,3.0,12919,3.9,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
21,65.0,7.1,4,67.7,5.0,11689,8.3,No,No,Yes,No,No,Yes,No,No,No,No,No
25,100.0,6.2,6,50.5,7.0,17140,6.3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
25,96.7,8.0,2,57.4,8.0,4403,8.7,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No
23,78.3,6.4,3,74.8,6.0,15868,6.1,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
21,71.4,5.9,7,61.6,1.0,9638,6.2,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
17,77.7,4.8,2,84.4,8.0,10931,6.6,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
21,80.7,8.3,7,71.7,4.0,21361,1.2,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
28,59.5,7.4,5,67.2,8.0,17988,5.7,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes
27,70.6,7.0,8,70.1,2.0,10808,7.0,No,No,No,No,No,Yes,No,Yes,No,No,Yes
23,,5.1,10,56.0,9.0,12466,4.9,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes
21,67.5,8.0,1,86.0,8.0,17186,6.8,No,Yes,No,No,No,Yes,No,No,No,Yes,No
25,83.0,5.8,4,61.0,4.0,4460,2.9,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
24,79.0,6.5,4,49.7,2.0,20526,5.4,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No
20,58.9,5.1,1,60.8,5.0,5620,7.3,No,No,No,Yes,No,No,Yes,No,Yes,No,No
24,68.8,6.6,6,65.6,4.0,9079,2.7,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
24,59.9,6.7,4,69.0,2.0,2667,4.1,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
20,82.1,7.5,5,77.0,6.0,20077,5.0,No,No,No,No,No,No,No,Yes,No,No,No
23,86.9,,4,89.2,4.0,13487,3.3,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
27,69.5,5.7,2,64.3,2.0,3426,3.9,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
23,77.0,5.8,4,46.5,1.0,13692,3.6,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No
28,73.2,5.5,3,61.8,5.0,14160,5.4,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes
18,63.5,6.6,7,61.1,7.0,14427,2.6,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
18,62.2,,5,56.7,9.0,20176,4.6,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
21,75.8,4.7,3,74.6,8.0,17734,6.0,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
26,73.7,7.3,4,66.3,6.0,5042,2.8,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
22,58.4,5.3,1,78.7,7.0,7939,4.0,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
20,66.8,6.9,3,29.8,4.0,3264,1.6,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes
28,76.7,9.2,2,73.8,,11339,9.2,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
23,53.3,,4,58.3,6.0,15323,6.1,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
25,85.1,7.2,5,79.8,8.0,16487,6.9,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No
20,54.1,6.0,2,61.7,1.0,9743,3.0,Yes,No,Yes,Yes,No,No,No,No,No,No,No
17,59.2,6.3,6,77.1,10.0,11834,8.7,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
21,37.3,6.7,4,59.4,2.0,11144,3.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
24,44.4,5.7,3,55.4,2.0,7143,2.7,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes
22,77.9,6.1,5,39.3,9.0,12309,6.9,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
21,88.9,7.0,1,72.7,9.0,10169,7.4,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No
17,68.6,4.9,5,74.1,7.0,16395,5.4,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
17,53.5,6.7,2,61.8,5.0,3736,4.2,No,No,No,No,Yes,No,No,Yes,Yes,No,No
24,52.3,6.4,4,72.1,4.0,16193,3.9,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes
24,76.4,5.7,10,48.9,8.0,15785,6.9,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes
21,69.8,6.4,5,86.1,3.0,16707,5.2,No,Yes,No,No,No,No,No,Yes,No,No,Yes
21,86.8,5.0,7,53.7,6.0,8128,5.9,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No
17,59.1,6.1,10,45.3,7.0,5657,4.9,Yes,No,No,No,Yes,No,No,No,Yes,No,No
25,71.6,5.3,5,80.7,5.0,2653,5.4,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
25,61.0,6.8,4,54.5,6.0,10652,4.0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
25,99.1,5.3,2,89.0,6.0,5968,4.5,No,No,No,No,Yes,No,No,Yes,Yes,No,No
21,72.5,5.0,5,86.8,4.0,7958,5.9,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
